"assettreat","asset_comp","isrstock","palstock","tradestock6all","age","married","faminc","religion","female","BA_or_higher","right_2013","right_2015","left_2013","left_2015","p_index_2013","p_index_2015","p_index_2016","e_index_2013","e_index_2015"
0,0,0,0,1,71,1,12000,"jewish",1,0,0,0,0,0,-1.75893858075142,1.26580819487572,-2.49762922525406,-6.03728771209717,-7.60520219802856
1,0,0,0,0,42,1,12000,"jewish",0,0,0,1,0,0,-3.61370384693146,-2.90170401334763,NA,0.118465423583984,-4.40217524766922
1,1,0,1,1,44,1,24000,"jewish",1,1,1,1,0,0,-10.899418592453,-10.1081895828247,-6.76200032234192,-3.69249224662781,-1.3103374838829
1,1,1,0,0,51,1,16000,"jewish",1,1,0,0,0,0,-4.0206104516983,-0.728211849927902,NA,1.88084423542023,-4.10365879535675
1,1,0,0,0,40,1,16000,"jewish",0,0,0,0,0,0,17.6724529266357,15.6904220581055,NA,-0.486538521945477,5.98242163658142
0,0,0,0,1,39,1,16000,"jewish",0,1,0,0,0,0,-1.45750284194946,-0.896040201187134,NA,-5.8120197057724,NA
1,1,1,0,1,35,1,8000,"jewish",1,0,0,0,0,0,5.91025352478027,1.61310866475105,7.15677261352539,-1.47172018885612,8.18487465381622
1,0,1,0,1,72,1,12000,"jewish",0,1,0,NA,1,NA,10.3867375850677,NA,11.6165697574615,-3.78312945365906,NA
1,1,0,1,1,46,1,16000,"jewish",0,1,0,0,0,1,15.3521692752838,15.6904220581055,NA,11.1239266395569,8.7890100479126
1,0,0,0,0,34,1,12000,"jewish",1,1,1,0,0,0,-1.7003270983696,-5.42554795742035,NA,2.85532265901566,NA
0,0,0,0,1,37,1,16000,"jewish",0,1,0,0,0,0,8.14849555492401,10.8252573013306,9.19166445732117,-2.99522876739502,-2.87183523178101
1,1,1,0,1,46,1,12000,"jewish",1,1,0,1,0,0,-1.75893858075142,-1.07551239430904,-0.26814978569746,4.06704902648926,-3.5719496011734
1,1,1,0,0,30,1,12000,"jewish",0,0,0,0,0,0,-4.0206104516983,-10.1081895828247,-2.22751900553703,-3.96970719099045,5.99518597126007
0,0,0,0,1,37,1,16000,"jewish",1,1,0,0,1,1,5.80478250980377,8.65176558494568,NA,-0.791740566492081,0.629708468914032
1,1,0,1,1,31,1,12000,"jewish",0,0,0,0,0,0,17.6724529266357,-0.728211849927902,6.84144496917725,5.81872463226318,NA
