Location,Year,Age,Sex,Cause of death or injury,Risk factor,Measure,Value,Lower bound,Upper bound
India,2017,All ages,Both,Maternal and neonatal disorders,Environmental/occupational risks,Deaths,0,0,0
India,2017,All ages,Both,Maternal and neonatal disorders,Environmental/occupational risks,Percent of total deaths,0,,
India,2017,All ages,Both,Maternal and neonatal disorders,Environmental/occupational risks,"Deaths per 100,000",0,0,0
India,2017,All ages,Both,Maternal and neonatal disorders,Behavioral risks,Deaths,417942.6035,386313.0444,450401.2449
India,2017,All ages,Both,Maternal and neonatal disorders,Behavioral risks,Percent of total deaths,0.042175946,,
India,2017,All ages,Both,Maternal and neonatal disorders,Behavioral risks,"Deaths per 100,000",30.27340317,27.98233645,32.62452395
India,2017,All ages,Both,Other infectious diseases,Metabolic risks,Deaths,0,0,0
India,2017,All ages,Both,Other infectious diseases,Metabolic risks,Percent of total deaths,0,,
India,2017,All ages,Both,Other infectious diseases,Metabolic risks,"Deaths per 100,000",0,0,0
India,2017,All ages,Both,Other infectious diseases,Environmental/occupational risks,Deaths,0,0,0
India,2017,All ages,Both,Other infectious diseases,Environmental/occupational risks,Percent of total deaths,0,,
India,2017,All ages,Both,Other infectious diseases,Environmental/occupational risks,"Deaths per 100,000",0,0,0
India,2017,All ages,Both,Other infectious diseases,Behavioral risks,Deaths,17516.30569,7975.646506,35060.61694
India,2017,All ages,Both,Other infectious diseases,Behavioral risks,Percent of total deaths,0.001767627,,
India,2017,All ages,Both,Other infectious diseases,Behavioral risks,"Deaths per 100,000",1.268782316,0.577710815,2.539593196
India,2017,All ages,Both,Neglected tropical diseases and malaria,Metabolic risks,Deaths,0,0,0
India,2017,All ages,Both,Neglected tropical diseases and malaria,Metabolic risks,Percent of total deaths,0,,
India,2017,All ages,Both,Neglected tropical diseases and malaria,Metabolic risks,"Deaths per 100,000",0,0,0
India,2017,All ages,Both,Neglected tropical diseases and malaria,Environmental/occupational risks,Deaths,0,0,0
India,2017,All ages,Both,Neglected tropical diseases and malaria,Environmental/occupational risks,Percent of total deaths,0,,
India,2017,All ages,Both,Neglected tropical diseases and malaria,Environmental/occupational risks,"Deaths per 100,000",0,0,0
India,2017,All ages,Both,Neglected tropical diseases and malaria,Behavioral risks,Deaths,0,0,0
India,2017,All ages,Both,Neglected tropical diseases and malaria,Behavioral risks,Percent of total deaths,0,,
India,2017,All ages,Both,Neglected tropical diseases and malaria,Behavioral risks,"Deaths per 100,000",0,0,0
India,2017,All ages,Both,Enteric infections,Metabolic risks,Deaths,0,0,0
India,2017,All ages,Both,Enteric infections,Metabolic risks,Percent of total deaths,0,,
India,2017,All ages,Both,Enteric infections,Metabolic risks,"Deaths per 100,000",0,0,0
India,2017,All ages,Both,Enteric infections,Environmental/occupational risks,Deaths,655877.1386,436692.9457,1017282.867
India,2017,All ages,Both,Enteric infections,Environmental/occupational risks,Percent of total deaths,0.066186694,,
India,2017,All ages,Both,Enteric infections,Environmental/occupational risks,"Deaths per 100,000",47.50803791,31.63157213,73.68622895
India,2017,All ages,Both,Enteric infections,Behavioral risks,Deaths,98056.0136,83538.54172,112452.5176
India,2017,All ages,Both,Enteric infections,Behavioral risks,Percent of total deaths,0.009895151,,
India,2017,All ages,Both,Enteric infections,Behavioral risks,"Deaths per 100,000",7.102624161,6.05106044,8.145425654
India,2017,All ages,Both,Respiratory infections and tuberculosis,Metabolic risks,Deaths,48669.57549,30895.19735,68508.01531
India,2017,All ages,Both,Respiratory infections and tuberculosis,Metabolic risks,Percent of total deaths,0.004911405,,
India,2017,All ages,Both,Respiratory infections and tuberculosis,Metabolic risks,"Deaths per 100,000",3.52534934,2.237873712,4.962333945
India,2017,All ages,Both,Respiratory infections and tuberculosis,Environmental/occupational risks,Deaths,257969.793,211185.5686,297119.7454
India,2017,All ages,Both,Respiratory infections and tuberculosis,Environmental/occupational risks,Percent of total deaths,0.02603257,,
India,2017,All ages,Both,Respiratory infections and tuberculosis,Environmental/occupational risks,"Deaths per 100,000",18.68587573,15.29709058,21.52167731
India,2017,All ages,Both,Respiratory infections and tuberculosis,Behavioral risks,Deaths,416269.1951,372953.7285,461454.4199
India,2017,All ages,Both,Respiratory infections and tuberculosis,Behavioral risks,Percent of total deaths,0.042007077,,
India,2017,All ages,Both,Respiratory infections and tuberculosis,Behavioral risks,"Deaths per 100,000",30.15219092,27.014663,33.42515356
India,2017,All ages,Both,HIV/AIDS and sexually transmitted infections,Metabolic risks,Deaths,0,0,0
India,2017,All ages,Both,HIV/AIDS and sexually transmitted infections,Metabolic risks,Percent of total deaths,0,,
India,2017,All ages,Both,HIV/AIDS and sexually transmitted infections,Metabolic risks,"Deaths per 100,000",0,0,0
India,2017,All ages,Both,HIV/AIDS and sexually transmitted infections,Environmental/occupational risks,Deaths,0,0,0
India,2017,All ages,Both,HIV/AIDS and sexually transmitted infections,Environmental/occupational risks,Percent of total deaths,0,,
India,2017,All ages,Both,HIV/AIDS and sexually transmitted infections,Environmental/occupational risks,"Deaths per 100,000",0,0,0
India,2017,All ages,Both,HIV/AIDS and sexually transmitted infections,Behavioral risks,Deaths,44214.22997,41663.33001,47121.25458
India,2017,All ages,Both,HIV/AIDS and sexually transmitted infections,Behavioral risks,Percent of total deaths,0.004461802,,
India,2017,All ages,Both,HIV/AIDS and sexually transmitted infections,Behavioral risks,"Deaths per 100,000",3.202629258,3.017856462,3.413197712
,,,,,,,,,
"Global Burden of Disease Study 2017. Global Burden of Disease Study 2017 (GBD 2017) Results. Seattle, United States: Institute for Health Metrics and Evaluation (IHME), 2018.",,,,,,,,,
Available from http://vizhub.healthdata.org/gbd-compare/,,,,,,,,,
"For terms and conditions of use, please visit http://www.healthdata.org/about/terms-and-conditions",,,,,,,,,
