Location,Year,Age,Sex,Cause of death or injury,Risk factor,Measure,Value,Lower bound,Upper bound
India,2017,All ages,Both,Nutritional deficiencies,Metabolic risks,YLDs,0,0,0
India,2017,All ages,Both,Nutritional deficiencies,Metabolic risks,Percent of total YLDs,0,,
India,2017,All ages,Both,Nutritional deficiencies,Metabolic risks,"YLDs per 100,000",0,0,0
India,2017,All ages,Both,Nutritional deficiencies,Environmental/occupational risks,YLDs,0,0,0
India,2017,All ages,Both,Nutritional deficiencies,Environmental/occupational risks,Percent of total YLDs,0,,
India,2017,All ages,Both,Nutritional deficiencies,Environmental/occupational risks,"YLDs per 100,000",0,0,0
India,2017,All ages,Both,Nutritional deficiencies,Behavioral risks,YLDs,15722830,10666711.39,22180400.68
India,2017,All ages,Both,Nutritional deficiencies,Behavioral risks,Percent of total YLDs,0,,
India,2017,All ages,Both,Nutritional deficiencies,Behavioral risks,"YLDs per 100,000",1139,772.6363659,1606.623031
India,2017,All ages,Both,Maternal and neonatal disorders,Metabolic risks,YLDs,0,0,0
India,2017,All ages,Both,Maternal and neonatal disorders,Metabolic risks,Percent of total YLDs,0,,
India,2017,All ages,Both,Maternal and neonatal disorders,Metabolic risks,"YLDs per 100,000",0,0,0
India,2017,All ages,Both,Maternal and neonatal disorders,Environmental/occupational risks,YLDs,0,0,0
India,2017,All ages,Both,Maternal and neonatal disorders,Environmental/occupational risks,Percent of total YLDs,0,,
India,2017,All ages,Both,Maternal and neonatal disorders,Environmental/occupational risks,"YLDs per 100,000",0,0,0
India,2017,All ages,Both,Maternal and neonatal disorders,Behavioral risks,YLDs,4120656,2822598.924,5792848.246
India,2017,All ages,Both,Maternal and neonatal disorders,Behavioral risks,Percent of total YLDs,0,,
India,2017,All ages,Both,Maternal and neonatal disorders,Behavioral risks,"YLDs per 100,000",298,204.4531343,419.60123
India,2017,All ages,Both,Other infectious diseases,Metabolic risks,YLDs,0,0,0
India,2017,All ages,Both,Other infectious diseases,Metabolic risks,Percent of total YLDs,0,,
India,2017,All ages,Both,Other infectious diseases,Metabolic risks,"YLDs per 100,000",0,0,0
India,2017,All ages,Both,Other infectious diseases,Environmental/occupational risks,YLDs,0,0,0
India,2017,All ages,Both,Other infectious diseases,Environmental/occupational risks,Percent of total YLDs,0,,
India,2017,All ages,Both,Other infectious diseases,Environmental/occupational risks,"YLDs per 100,000",0,0,0
India,2017,All ages,Both,Other infectious diseases,Behavioral risks,YLDs,17660,6145.082895,39636.68793
India,2017,All ages,Both,Other infectious diseases,Behavioral risks,Percent of total YLDs,0,,
India,2017,All ages,Both,Other infectious diseases,Behavioral risks,"YLDs per 100,000",1,0.44511512,2.87105795
India,2017,All ages,Both,Neglected tropical diseases and malaria,Metabolic risks,YLDs,0,0,0
India,2017,All ages,Both,Neglected tropical diseases and malaria,Metabolic risks,Percent of total YLDs,0,,
India,2017,All ages,Both,Neglected tropical diseases and malaria,Metabolic risks,"YLDs per 100,000",0,0,0
India,2017,All ages,Both,Neglected tropical diseases and malaria,Environmental/occupational risks,YLDs,0,0,0
India,2017,All ages,Both,Neglected tropical diseases and malaria,Environmental/occupational risks,Percent of total YLDs,0,,
India,2017,All ages,Both,Neglected tropical diseases and malaria,Environmental/occupational risks,"YLDs per 100,000",0,0,0
India,2017,All ages,Both,Neglected tropical diseases and malaria,Behavioral risks,YLDs,0,0,0
India,2017,All ages,Both,Neglected tropical diseases and malaria,Behavioral risks,Percent of total YLDs,0,,
India,2017,All ages,Both,Neglected tropical diseases and malaria,Behavioral risks,"YLDs per 100,000",0,0,0
India,2017,All ages,Both,Enteric infections,Metabolic risks,YLDs,0,0,0
India,2017,All ages,Both,Enteric infections,Metabolic risks,Percent of total YLDs,0,,
India,2017,All ages,Both,Enteric infections,Metabolic risks,"YLDs per 100,000",0,0,0
India,2017,All ages,Both,Enteric infections,Environmental/occupational risks,YLDs,2605567,1713967.078,3699500.528
India,2017,All ages,Both,Enteric infections,Environmental/occupational risks,Percent of total YLDs,0,,
India,2017,All ages,Both,Enteric infections,Environmental/occupational risks,"YLDs per 100,000",189,124.1501009,267.9709369
India,2017,All ages,Both,Enteric infections,Behavioral risks,YLDs,188219,120762.6832,273558.0234
India,2017,All ages,Both,Enteric infections,Behavioral risks,Percent of total YLDs,0,,
India,2017,All ages,Both,Enteric infections,Behavioral risks,"YLDs per 100,000",14,8.747367146,19.81499915
India,2017,All ages,Both,Respiratory infections and tuberculosis,Metabolic risks,YLDs,104878,59420.0128,160644.3471
India,2017,All ages,Both,Respiratory infections and tuberculosis,Metabolic risks,Percent of total YLDs,0,,
India,2017,All ages,Both,Respiratory infections and tuberculosis,Metabolic risks,"YLDs per 100,000",8,4.304050339,11.63616977
India,2017,All ages,Both,Respiratory infections and tuberculosis,Environmental/occupational risks,YLDs,100753,64187.18394,147588.8027
India,2017,All ages,Both,Respiratory infections and tuberculosis,Environmental/occupational risks,Percent of total YLDs,0,,
India,2017,All ages,Both,Respiratory infections and tuberculosis,Environmental/occupational risks,"YLDs per 100,000",7,4.649357308,10.69049982
India,2017,All ages,Both,Respiratory infections and tuberculosis,Behavioral risks,YLDs,514664,347115.4043,718361.7351
India,2017,All ages,Both,Respiratory infections and tuberculosis,Behavioral risks,Percent of total YLDs,0,,
India,2017,All ages,Both,Respiratory infections and tuberculosis,Behavioral risks,"YLDs per 100,000",37,25.14308064,52.03406939
India,2017,All ages,Both,HIV/AIDS and sexually transmitted infections,Metabolic risks,YLDs,0,0,0
India,2017,All ages,Both,HIV/AIDS and sexually transmitted infections,Metabolic risks,Percent of total YLDs,0,,
India,2017,All ages,Both,HIV/AIDS and sexually transmitted infections,Metabolic risks,"YLDs per 100,000",0,0,0
India,2017,All ages,Both,HIV/AIDS and sexually transmitted infections,Environmental/occupational risks,YLDs,0,0,0
India,2017,All ages,Both,HIV/AIDS and sexually transmitted infections,Environmental/occupational risks,Percent of total YLDs,0,,
India,2017,All ages,Both,HIV/AIDS and sexually transmitted infections,Environmental/occupational risks,"YLDs per 100,000",0,0,0
India,2017,All ages,Both,HIV/AIDS and sexually transmitted infections,Behavioral risks,YLDs,413097,271517.872,625246.9598
India,2017,All ages,Both,HIV/AIDS and sexually transmitted infections,Behavioral risks,Percent of total YLDs,0,,
India,2017,All ages,Both,HIV/AIDS and sexually transmitted infections,Behavioral risks,"YLDs per 100,000",30,19.6672221,45.28936064
,,,,,,,,,
"Global Burden of Disease Study 2017. Global Burden of Disease Study 2017 (GBD 2017) Results. Seattle, United States: Institute for Health Metrics and Evaluation (IHME), 2018.",,,,,,,,,
Available from http://vizhub.healthdata.org/gbd-compare/,,,,,,,,,
"For terms and conditions of use, please visit http://www.healthdata.org/about/terms-and-conditions",,,,,,,,,
