Appendix Table S14. Mean age of death correlation with SDI by Cause-Sex,,,,,,,,
cause_name,level,sex,r2 Observed,slope Observed,p Observed,r2 Observed vs Expected,slope Observed vs Expected,p Observed vs Expected
Colon and rectum cancer,3,Both,0.58,28.47,<.0001,0.44,12.81,<.0001
Colon and rectum cancer,3,Male,0.48,22.08,<.0001,0.36,9.21,<.0001
Colon and rectum cancer,3,Female,0.65,35.7,<.0001,0.49,17.13,<.0001
Liver cancer,3,Female,0.74,41.52,<.0001,0.44,16.83,<.0001
Liver cancer,3,Male,0.66,31.23,<.0001,0.4,13.36,<.0001
Liver cancer,3,Both,0.7,34.69,<.0001,0.4,13.98,<.0001
Gallbladder and biliary tract cancer,3,Male,0.46,18.28,<.0001,0.34,8.06,<.0001
Gallbladder and biliary tract cancer,3,Both,0.57,23.2,<.0001,0.43,10.87,<.0001
Gallbladder and biliary tract cancer,3,Female,0.63,27.18,<.0001,0.46,12.99,<.0001
Pancreatic cancer,3,Female,0.65,26.33,<.0001,0.54,13.88,<.0001
Pancreatic cancer,3,Male,0.47,17.41,<.0001,0.31,7.34,<.0001
Pancreatic cancer,3,Both,0.57,21.55,<.0001,0.42,9.98,<.0001
Larynx cancer,3,Female,0.62,31.19,<.0001,0.31,13.3,<.0001
Larynx cancer,3,Male,0.45,16.96,<.0001,0.2,7.01,<.0001
Larynx cancer,3,Both,0.51,19.16,<.0001,0.19,7.37,<.0001
"Tracheal, bronchus, and lung cancer",3,Both,0.53,19.13,<.0001,0.32,8.51,<.0001
"Tracheal, bronchus, and lung cancer",3,Female,0.64,25.28,<.0001,0.41,12.16,<.0001
"Tracheal, bronchus, and lung cancer",3,Male,0.45,16.47,<.0001,0.31,7.68,<.0001
Malignant skin melanoma,3,Female,0.66,48.81,<.0001,0.28,20.48,<.0001
Malignant skin melanoma,3,Both,0.66,40.87,<.0001,0.33,18.27,<.0001
Malignant skin melanoma,3,Male,0.59,30.13,<.0001,0.28,12.54,<.0001
Non-melanoma skin cancer,3,Both,0.52,35.48,<.0001,0.37,19.45,<.0001
Non-melanoma skin cancer,3,Male,0.46,31.16,<.0001,0.36,18.39,<.0001
Non-melanoma skin cancer,3,Female,0.58,41.65,<.0001,0.41,22.48,<.0001
Soft tissue and other extraosseous sarcomas,3,Male,0.75,61.32,<.0001,0.33,13.77,<.0001
Soft tissue and other extraosseous sarcomas,3,Female,0.76,66.95,<.0001,0.28,14.5,<.0001
Soft tissue and other extraosseous sarcomas,3,Both,0.76,63.98,<.0001,0.31,13.87,<.0001
Malignant neoplasm of bone and articular cartilage,3,Female,0.76,74.45,<.0001,0.39,21.89,<.0001
Malignant neoplasm of bone and articular cartilage,3,Both,0.75,67.75,<.0001,0.34,18.28,<.0001
Malignant neoplasm of bone and articular cartilage,3,Male,0.73,62.82,<.0001,0.29,16.37,<.0001
Breast cancer,3,Both,0.67,38.48,<.0001,0.55,17.23,<.0001
Breast cancer,3,Male,0.51,23.72,<.0001,0.34,8.98,<.0001
Breast cancer,3,Female,0.68,38.99,<.0001,0.51,16.03,<.0001
Cervical cancer,3,Both,0.74,37.11,<.0001,0.53,16.44,<.0001
Cervical cancer,3,Female,0.74,37.12,<.0001,0.48,15.23,<.0001
Uterine cancer,3,Female,0.61,27.69,<.0001,0.42,12.52,<.0001
Uterine cancer,3,Both,0.61,27.68,<.0001,0.48,13.83,<.0001
Ovarian cancer,3,Female,0.72,36.13,<.0001,0.51,15.22,<.0001
Ovarian cancer,3,Both,0.72,36.12,<.0001,0.57,16.6,<.0001
Prostate cancer,3,Both,0.36,12.09,<.0001,0.19,5.56,<.0001
Prostate cancer,3,Male,0.36,12.07,<.0001,0.33,7.13,<.0001
Testicular cancer,3,Both,0.51,36.87,<.0001,0.014,3.69,0.073
Testicular cancer,3,Male,0.51,36.86,<.0001,0.028,5.43,0.0098
Kidney cancer,3,Both,0.77,49.89,<.0001,0.65,25.62,<.0001
Kidney cancer,3,Male,0.75,43.94,<.0001,0.66,24.25,<.0001
Kidney cancer,3,Female,0.79,60.85,<.0001,0.63,29.56,<.0001
Bladder cancer,3,Both,0.47,20.92,<.0001,0.37,10.64,<.0001
Bladder cancer,3,Female,0.58,27.49,<.0001,0.43,13.88,<.0001
