"Appendix Table S5. All age, both sex deaths and mortality rates due to COVID-19 from 2020-2023",,,,,,,,,,,,,
Location Name,Sex,Deaths due to COVID-19,,,,,"COVID-19 Mortality Rate per 100,000",,,,,,
         Albania,Male,"3,076
(2,697 - 3,336)","3,868
(3,461 - 4,180)","762
(648 - 876)","165
(137 - 196)","7,872
(6,946 - 8,589)","238.5
(209.1 - 258.6)","301.5
(269.8 - 325.9)","61.6
(52.4 - 70.8)","13.8
(11.5 - 16.5)","153.9
(135.6 - 166.9)",,
         Albania,Female,"2,560
(1,898 - 2,899)","3,665
(2,786 - 4,136)","830
(582 - 987)","195
(133 - 243)","7,252
(5,400 - 8,266)","197.1
(146.2 - 223.2)","282.9
(215.0 - 319.3)","65.2
(45.8 - 77.5)","15.9
(10.8 - 19.8)","140.3
(104.4 - 158.5)",,
         Albania,Both Sex,"5,637
(4,830 - 6,177)","7,533
(6,396 - 8,208)","1,592
(1,274 - 1,828)","361
(284 - 427)","15,125
(12,786 - 16,641)","217.8
(186.6 - 238.6)","292.2
(248.1 - 318.3)","63.5
(50.8 - 72.9)","14.9
(11.7 - 17.6)","147.1
(124.6 - 161.0)",,
         Bosnia and Herzegovina,Male,"3,708
(3,508 - 3,908)","6,765
(6,430 - 7,152)","2,258
(2,100 - 2,482)","208
(185 - 237)","12,940
(12,224 - 13,780)","227.3
(215.0 - 239.5)","420.5
(399.7 - 444.5)","142.9
(132.9 - 157.1)","13.4
(11.9 - 15.3)","201.0
(190.7 - 213.8)",,
         Bosnia and Herzegovina,Female,"2,099
(1,915 - 2,509)","5,880
(5,458 - 6,846)","1,838
(1,643 - 2,229)","149
(126 - 189)","9,967
(9,144 - 11,774)","123.0
(112.2 - 147.0)","349.4
(324.3 - 406.8)","110.9
(99.1 - 134.4)","9.1
(7.7 - 11.6)","148.1
(136.7 - 174.7)",,
         Bosnia and Herzegovina,Both Sex,"5,808
(5,457 - 6,400)","12,645
(11,954 - 13,816)","4,096
(3,804 - 4,626)","357
(321 - 409)","22,908
(21,537 - 25,253)","174.0
(163.5 - 191.7)","384.1
(363.1 - 419.7)","126.5
(117.5 - 142.9)","11.2
(10.1 - 12.8)","174.0
(164.0 - 192.0)",,
         Bulgaria,Male,"7,238
(6,977 - 7,457)","17,827
(17,237 - 18,305)","6,255
(5,957 - 6,506)","254
(239 - 269)","31,576
(30,411 - 32,539)","207.7
(200.2 - 213.9)","516.3
(499.2 - 530.2)","183.6
(174.8 - 191.0)","7.6
(7.1 - 8.0)","228.8
(220.7 - 235.1)",,
         Bulgaria,Female,"4,811
(4,553 - 5,036)","16,267
(15,562 - 16,933)","5,088
(4,799 - 5,404)","213
(196 - 232)","26,381
(25,112 - 27,606)","130.7
(123.7 - 136.8)","444.8
(425.5 - 463.0)","141.0
(133.0 - 149.7)","6.0
(5.5 - 6.5)","180.6
(172.0 - 188.6)",,
         Bulgaria,Both Sex,"12,049
(11,601 - 12,411)","34,095
(33,006 - 35,042)","11,344
(10,776 - 11,781)","468
(438 - 496)","57,957
(55,823 - 59,732)","168.2
(161.9 - 173.2)","479.5
(464.2 - 492.9)","161.7
(153.6 - 167.9)","6.8
(6.3 - 7.2)","204.0
(196.6 - 210.0)",,
         Croatia,Male,"2,707
(2,596 - 2,790)","5,010
(4,811 - 5,150)","2,723
(2,605 - 2,847)","268
(251 - 286)","10,709
(10,265 - 11,075)","139.1
(133.4 - 143.4)","260.8
(250.4 - 268.1)","143.5
(137.3 - 150.1)","14.3
(13.4 - 15.3)","139.4
(134.1 - 143.0)",,
         Croatia,Female,"2,185
(1,983 - 2,302)","4,199
(3,823 - 4,405)","2,632
(2,388 - 2,802)","280
(247 - 308)","9,298
(8,443 - 9,819)","104.8
(95.1 - 110.4)","203.7
(185.4 - 213.7)","129.2
(117.2 - 137.5)","13.9
(12.3 - 15.3)","112.9
(102.7 - 118.9)",,
         Croatia,Both Sex,"4,893
(4,581 - 5,069)","9,209
(8,674 - 9,504)","5,356
(5,006 - 5,596)","549
(500 - 592)","20,008
(18,762 - 20,763)","121.4
(113.6 - 125.7)","231.2
(217.8 - 238.6)","136.1
(127.2 - 142.2)","14.1
(12.9 - 15.2)","125.7
(118.2 - 130.0)",,
         Czechia,Male,"6,672
(6,392 - 6,874)","15,591
(15,055 - 15,930)","3,396
(3,209 - 3,536)","1,049
(973 - 1,111)","26,709
(25,630 - 27,452)","126.9
(121.5 - 130.7)","296.7
(286.6 - 303.2)","64.7
(61.1 - 67.4)","19.6
(18.1 - 20.7)","127.0
(121.8 - 130.1)",,
         Czechia,Female,"5,331
(4,824 - 5,615)","11,049
(10,137 - 11,536)","2,857
(2,541 - 3,031)","999
(868 - 1,092)","20,238
(18,370 - 21,276)","98.3
(88.9 - 103.5)","203.9
(187.0 - 212.8)","52.7
(46.9 - 55.9)","18.1
(15.7 - 19.8)","93.2
(84.7 - 97.9)",,
         Czechia,Both Sex,"12,003
(11,244 - 12,450)","26,640
(25,178 - 27,372)","6,254
(5,755 - 6,553)","2,048
(1,848 - 2,182)","46,948
(44,026 - 48,558)","112.3
(105.2 - 116.5)","249.6
(235.9 - 256.4)","58.6
(53.9 - 61.4)","18.8
(17.0 - 20.0)","109.8
(103.2 - 113.4)",,
         Hungary,Male,"5,196
(4,976 - 5,330)","14,143
(13,717 - 14,416)","4,103
(3,942 - 4,241)","445
(418 - 470)","23,889
(23,054 - 24,458)","111.4
(106.7 - 114.3)","304.4
(295.2 - 310.3)","88.6
(85.2 - 91.6)","9.7
(9.1 - 10.2)","128.5
(123.8 - 131.3)",,
         Hungary,Female,"4,876
(4,478 - 5,096)","13,051
(12,191 - 13,500)","4,215
(3,850 - 4,430)","562
(499 - 603)","22,705
(21,020 - 23,631)","95.9
(88.1 - 100.2)","258.0
(241.0 - 266.9)","83.7
(76.5 - 88.0)","11.2
(10.0 - 12.0)","112.2
(103.9 - 116.5)",,
         Hungary,Both Sex,"10,073
(9,517 - 10,431)","27,194
(25,951 - 27,833)","8,318
(7,785 - 8,626)","1,008
(917 - 1,071)","46,594
(44,171 - 47,961)","103.3
(97.6 - 107.0)","280.2
(267.4 - 286.8)","86.1
(80.6 - 89.3)","10.5
(9.5 - 11.1)","120.0
(113.4 - 123.4)",,
         Montenegro,Male,"899
(826 - 967)","1,856
(1,738 - 1,973)","388
(350 - 426)","60
(54 - 68)","3,205
(2,970 - 3,435)","278.3
(255.8 - 299.3)","572.7
(536.3 - 608.6)","119.6
(107.9 - 131.4)","18.7
(16.7 - 20.9)","247.3
(229.6 - 264.5)",,
         Montenegro,Female,"550
(461 - 634)","1,498
(1,294 - 1,675)","306
(248 - 364)","46
(36 - 56)","2,402
(2,040 - 2,731)","169.5
(142.1 - 195.2)","456.4
(394.3 - 510.6)","93.4
(75.5 - 110.8)","14.3
(11.1 - 17.4)","183.4
(156.2 - 209.7)",,
         Montenegro,Both Sex,"1,449
(1,320 - 1,566)","3,355
(3,105 - 3,549)","695
(614 - 764)","107
(92 - 121)","5,608
(5,133 - 6,002)","223.7
(203.8 - 241.7)","514.2
(476.0 - 544.0)","106.4
(94.1 - 117.0)","16.5
(14.1 - 18.6)","215.2
(197.9 - 229.3)",,
         North Macedonia,Male,"2,612
(2,494 - 2,722)","4,591
(4,406 - 4,762)","1,316
(1,227 - 1,394)","250
(228 - 273)","8,771
(8,357 - 9,153)","273.2
(260.8 - 284.7)","487.2
(467.6 - 505.3)","141.7
(132.1 - 150.0)","27.2
(24.8 - 29.7)","232.3
(222.6 - 240.9)",,
         North Macedonia,Female,"1,557
(1,432 - 1,805)","3,780
(3,532 - 4,281)","895
(809 - 1,068)","177
(155 - 218)","6,412
(5,929 - 7,374)","161.4
(148.4 - 187.1)","397.7
(371.6 - 450.4)","95.6
(86.4 - 114.1)","19.1
(16.7 - 23.4)","168.5
(156.7 - 192.9)",,
         North Macedonia,Both Sex,"4,170
(3,965 - 4,469)","8,372
(8,037 - 8,932)","2,212
(2,066 - 2,403)","428
(391 - 477)","15,183
(14,460 - 16,283)","217.0
(206.4 - 232.6)","442.3
(424.6 - 471.9)","118.6
(110.7 - 128.8)","23.1
(21.1 - 25.8)","200.2
(191.9 - 214.3)",,
         Poland,Male,"33,327
(31,950 - 34,406)","64,494
(61,987 - 66,183)","18,195
(17,231 - 18,875)","3,435
(3,203 - 3,610)","119,452
(114,372 - 123,076)","176.3
(169.0 - 182.0)","342.9
(329.6 - 351.9)","97.2
(92.0 - 100.8)","18.2
(17.0 - 19.1)","158.6
(152.2 - 163.4)",,
         Poland,Female,"25,638
(23,036 - 27,024)","62,191
(56,698 - 65,089)","17,799
(15,882 - 18,938)","3,647
(3,151 - 3,926)","109,277
(98,768 - 114,979)","127.3
(114.4 - 134.2)","310.5
(283.1 - 325.0)","89.1
(79.5 - 94.8)","18.1
(15.7 - 19.5)","136.3
(123.0 - 143.2)",,
         Poland,Both Sex,"58,965
(55,016 - 61,069)","126,685
(118,592 - 130,658)","35,995
(33,184 - 37,652)","7,083
(6,363 - 7,520)","228,729
(213,156 - 236,900)","151.0
(140.9 - 156.4)","326.2
(305.4 - 336.4)","93.0
(85.8 - 97.3)","18.2
(16.3 - 19.3)","147.1
(137.1 - 152.2)",,
         Romania,Male,"26,509
(25,684 - 27,151)","46,167
(45,165 - 47,146)","8,688
(8,253 - 9,045)","2,193
(2,042 - 2,312)","83,560
(81,146 - 85,656)","276.5
(267.9 - 283.2)","485.3
(474.8 - 495.6)","92.0
(87.4 - 95.8)","23.4
(21.7 - 24.6)","219.3
(213.6 - 224.4)",,
         Romania,Female,"19,556
(18,459 - 20,376)","38,823
(36,967 - 40,258)","7,688
(7,060 - 8,131)","2,149
(1,923 - 2,320)","68,217
(64,411 - 71,087)","193.1
(182.3 - 201.2)","386.0
(367.6 - 400.3)","76.9
(70.7 - 81.4)","21.6
(19.4 - 23.4)","169.4
(160.0 - 176.2)",,
         Romania,Both Sex,"46,065
(44,201 - 47,283)","84,991
(82,209 - 87,113)","16,377
(15,338 - 17,028)","4,342
(3,955 - 4,599)","151,777
(145,704 - 156,025)","233.7
(224.2 - 239.8)","434.3
(420.1 - 445.1)","84.3
(78.9 - 87.6)","22.5
(20.5 - 23.8)","193.7
(186.4 - 199.0)",,
         Serbia,Male,"9,981
(9,581 - 10,581)","21,316
(20,462 - 22,453)","6,529
(6,108 - 7,065)","2,065
(1,830 - 2,363)","39,892
(37,983 - 42,463)","216.3
(207.7 - 229.3)","464.1
(445.5 - 488.9)","144.1
(134.8 - 155.9)","45.8
(40.6 - 52.4)","217.6
(208.4 - 230.8)",,
