"Appendix Table S5. All age, both sex deaths and mortality rates due to COVID-19 from 2020-2023",,,,,,,,,,,,,
Location Name,Sex,Deaths due to COVID-19,,,,,"COVID-19 Mortality Rate per 100,000",,,,,,
         Ecuador,Male,"28,131
(27,524 - 28,581)","17,756
(17,363 - 18,065)","4,559
(4,380 - 4,723)","1,284
(1,214 - 1,351)","51,732
(50,483 - 52,722)","332.3
(325.1 - 337.6)","207.7
(203.1 - 211.4)","53.0
(50.9 - 54.9)","14.8
(14.0 - 15.6)","152.0
(148.6 - 154.5)",,
         Ecuador,Female,"14,948
(14,366 - 15,302)","12,382
(11,856 - 12,705)","4,177
(3,890 - 4,360)","943
(870 - 1,009)","32,452
(30,984 - 33,378)","169.9
(163.3 - 173.9)","138.9
(133.0 - 142.5)","46.3
(43.1 - 48.4)","10.4
(9.6 - 11.1)","91.4
(87.2 - 93.8)",,
         Ecuador,Both Sex,"43,080
(41,937 - 43,870)","30,139
(29,175 - 30,693)","8,736
(8,308 - 9,053)","2,228
(2,090 - 2,340)","84,184
(81,511 - 85,957)","249.5
(242.9 - 254.1)","172.6
(167.1 - 175.7)","49.6
(47.1 - 51.4)","12.5
(11.8 - 13.2)","121.1
(117.5 - 123.3)",,
         Peru,Male,"86,893
(84,633 - 89,594)","93,360
(90,933 - 96,182)","13,576
(12,811 - 14,505)","5,654
(5,231 - 6,062)","199,485
(193,609 - 206,345)","492.9
(480.1 - 508.3)","525.5
(511.8 - 541.3)","75.6
(71.4 - 80.8)","31.2
(28.9 - 33.5)","281.3
(273.2 - 289.7)",,
         Peru,Female,"44,721
(42,621 - 47,163)","55,704
(53,139 - 58,630)","8,234
(7,479 - 9,017)","3,621
(3,278 - 3,991)","112,280
(106,518 - 118,803)","256.0
(243.9 - 269.9)","315.3
(300.8 - 331.9)","46.1
(41.8 - 50.4)","20.1
(18.2 - 22.2)","159.4
(151.7 - 168.2)",,
         Peru,Both Sex,"131,614
(127,778 - 136,191)","149,064
(144,371 - 154,219)","21,810
(20,394 - 23,188)","9,276
(8,550 - 9,868)","311,766
(301,094 - 323,468)","375.0
(364.0 - 388.0)","420.7
(407.5 - 435.3)","60.9
(56.9 - 64.7)","25.7
(23.7 - 27.3)","220.6
(213.4 - 228.5)",,
      Caribbean,Male,"9,711
(9,368 - 10,099)","39,949
(38,725 - 40,765)","12,482
(11,667 - 13,240)","576
(528 - 622)","62,720
(60,289 - 64,728)","41.3
(39.9 - 43.0)","169.2
(164.0 - 172.6)","52.6
(49.1 - 55.8)","2.4
(2.2 - 2.6)","66.4
(63.9 - 68.2)",,
      Caribbean,Female,"6,246
(5,843 - 6,531)","32,068
(30,485 - 32,977)","12,143
(10,905 - 13,297)","563
(493 - 631)","51,022
(47,727 - 53,438)","25.9
(24.2 - 27.1)","132.1
(125.6 - 135.8)","49.7
(44.6 - 54.4)","2.3
(2.0 - 2.6)","52.5
(49.0 - 54.5)",,
      Caribbean,Both Sex,"15,958
(15,237 - 16,506)","72,018
(69,384 - 73,600)","24,625
(22,627 - 26,072)","1,140
(1,027 - 1,235)","113,742
(108,277 - 117,415)","33.5
(32.0 - 34.7)","150.4
(144.9 - 153.7)","51.1
(47.0 - 54.1)","2.4
(2.1 - 2.6)","59.3
(56.7 - 61.0)",,
         Antigua and Barbuda,Male,"17
(15 - 20)","55
(48 - 62)","22
(19 - 26)","0
(0 - 0)","96
(83 - 109)","40.3
(35.3 - 45.9)","125.3
(109.7 - 141.2)","51.4
(43.6 - 59.3)","1.7
(1.4 - 2.0)","54.7
(48.4 - 61.3)",,
         Antigua and Barbuda,Female,"12
(10 - 13)","39
(34 - 44)","20
(17 - 23)","0
(0 - 0)","72
(62 - 83)","26.0
(22.3 - 29.7)","85.5
(75.2 - 96.9)","43.4
(36.8 - 51.7)","1.4
(1.2 - 1.7)","39.1
(34.4 - 45.0)",,
         Antigua and Barbuda,Both Sex,"29
(26 - 33)","94
(84 - 105)","42
(36 - 49)","1
(1 - 1)","169
(148 - 190)","33.0
(28.9 - 36.7)","105.0
(93.0 - 117.0)","47.3
(40.7 - 54.4)","1.5
(1.3 - 1.8)","46.7
(41.6 - 52.3)",,
         Barbados,Male,"78
(71 - 86)","191
(174 - 207)","203
(184 - 223)","9
(8 - 10)","483
(439 - 526)","54.6
(49.7 - 59.8)","132.5
(121.0 - 143.3)","141.0
(127.8 - 154.4)","6.3
(5.7 - 7.1)","83.6
(77.0 - 90.5)",,
         Barbados,Female,"60
(54 - 67)","165
(151 - 180)","177
(159 - 197)","8
(7 - 9)","411
(373 - 453)","38.7
(35.1 - 43.0)","105.8
(96.9 - 115.2)","113.2
(102.2 - 125.9)","5.1
(4.6 - 5.8)","65.7
(60.3 - 71.6)",,
         Barbados,Both Sex,"139
(126 - 152)","356
(330 - 382)","380
(348 - 415)","17
(15 - 19)","894
(821 - 969)","46.4
(42.2 - 50.6)","118.6
(109.8 - 127.1)","126.5
(115.9 - 138.1)","5.7
(5.1 - 6.3)","74.3
(69.0 - 79.6)",,
         Belize,Male,"156
(145 - 167)","339
(317 - 358)","139
(127 - 152)","5
(4 - 5)","640
(595 - 683)","79.3
(73.7 - 84.9)","170.1
(159.3 - 179.7)","69.4
(63.5 - 75.4)","2.5
(2.2 - 2.7)","80.3
(76.2 - 84.9)",,
         Belize,Female,"87
(80 - 95)","236
(220 - 255)","106
(96 - 116)","3
(3 - 3)","434
(400 - 471)","43.3
(39.6 - 47.2)","115.7
(107.7 - 124.7)","51.5
(46.7 - 56.2)","1.7
(1.5 - 1.9)","53.1
(49.7 - 56.7)",,
         Belize,Both Sex,"244
(229 - 260)","576
(547 - 608)","246
(227 - 264)","8
(7 - 9)","1,075
(1,011 - 1,141)","61.1
(57.4 - 65.2)","142.6
(135.5 - 150.4)","60.3
(55.5 - 64.6)","2.1
(1.9 - 2.3)","66.5
(63.3 - 70.3)",,
         Bermuda,Male,"19
(17 - 22)","43
(37 - 48)","29
(25 - 33)","0
(0 - 0)","92
(81 - 104)","63.6
(55.3 - 71.3)","140.2
(122.6 - 156.2)","95.1
(83.0 - 108.8)","2.2
(1.9 - 2.5)","75.2
(66.1 - 84.1)",,
         Bermuda,Female,"16
(13 - 19)","41
(35 - 47)","31
(27 - 36)","0
(0 - 0)","91
(77 - 103)","50.5
(42.0 - 57.5)","127.0
(107.6 - 142.8)","97.6
(84.3 - 111.7)","2.5
(2.0 - 2.9)","69.4
(59.5 - 78.0)",,
         Bermuda,Both Sex,"36
(31 - 41)","85
(74 - 94)","61
(53 - 69)","1
(1 - 1)","184
(160 - 207)","56.8
(48.7 - 64.3)","133.4
(116.4 - 148.2)","96.4
(84.1 - 109.8)","2.3
(2.0 - 2.7)","72.2
(63.1 - 80.3)",,
         Cuba,Male,"1,661
(1,550 - 1,737)","25,245
(24,343 - 25,851)","4,565
(4,008 - 5,101)","230
(195 - 271)","31,702
(30,099 - 32,962)","29.1
(27.1 - 30.4)","443.8
(427.9 - 454.4)","80.8
(70.9 - 90.3)","4.1
(3.5 - 4.8)","139.4
(133.5 - 143.9)",,
         Cuba,Female,"1,757
(1,577 - 1,860)","21,129
(19,948 - 21,854)","6,037
(5,108 - 6,947)","316
(261 - 375)","29,241
(26,895 - 31,037)","30.5
(27.4 - 32.3)","368.5
(347.9 - 381.2)","105.8
(89.5 - 121.8)","5.6
(4.6 - 6.6)","127.6
(117.5 - 134.3)",,
         Cuba,Both Sex,"3,419
(3,129 - 3,577)","46,374
(44,437 - 47,684)","10,602
(9,421 - 11,722)","547
(467 - 621)","60,944
(57,455 - 63,605)","29.8
(27.3 - 31.2)","406.0
(389.0 - 417.5)","93.4
(83.0 - 103.2)","4.8
(4.1 - 5.5)","133.5
(125.5 - 138.5)",,
         Dominica,Male,"17
(14 - 20)","46
(40 - 54)","12
(10 - 14)","0
(0 - 0)","76
(66 - 89)","48.3
(41.4 - 56.6)","131.7
(114.5 - 153.0)","34.8
(29.1 - 41.0)","1.4
(1.2 - 1.7)","54.0
(46.6 - 62.7)",,
         Dominica,Female,"11
(9 - 14)","38
(33 - 45)","11
(9 - 13)","0
(0 - 0)","62
(53 - 73)","34.4
(28.6 - 41.4)","113.6
(98.3 - 133.2)","34.4
(28.1 - 41.1)","1.4
(1.1 - 1.7)","45.9
(39.4 - 54.0)",,
         Dominica,Both Sex,"28
(25 - 33)","85
(75 - 99)","23
(20 - 27)","0
(0 - 1)","139
(121 - 162)","41.5
(36.2 - 48.6)","122.9
(108.2 - 142.5)","34.6
(29.4 - 40.3)","1.4
(1.2 - 1.7)","50.1
(43.9 - 57.8)",,
         Dominican Republic,Male,"4,055
(3,803 - 4,343)","2,725
(2,549 - 2,913)","2,546
(2,321 - 2,751)","147
(131 - 164)","9,475
(8,805 - 10,172)","74.8
(70.1 - 80.1)","49.9
(46.7 - 53.3)","46.3
(42.2 - 50.0)","2.7
(2.4 - 3.0)","43.4
(40.7 - 46.2)",,
         Dominican Republic,Female,"1,840
(1,628 - 1,989)","1,608
(1,413 - 1,746)","1,441
(1,210 - 1,576)","81
(67 - 90)","4,972
(4,319 - 5,402)","33.5
(29.7 - 36.2)","29.0
(25.5 - 31.5)","25.7
(21.6 - 28.1)","1.4
(1.2 - 1.6)","22.4
(19.6 - 24.3)",,
         Dominican Republic,Both Sex,"5,895
(5,572 - 6,257)","4,334
(4,089 - 4,581)","3,988
(3,687 - 4,285)","228
(208 - 251)","14,447
(13,558 - 15,375)","54.0
(51.1 - 57.3)","39.4
(37.1 - 41.6)","35.9
(33.2 - 38.6)","2.0
(1.9 - 2.2)","32.8
(31.0 - 34.7)",,
         Grenada,Male,"33
(30 - 36)","164
(150 - 182)","45
(39 - 51)","1
(1 - 1)","243
(222 - 272)","56.7
(52.0 - 63.2)","281.5
(258.4 - 313.2)","77.4
(68.5 - 87.9)","2.4
(2.1 - 2.8)","104.5
(96.7 - 115.1)",,
         Grenada,Female,"16
(14 - 18)","93
(81 - 104)","30
(26 - 36)","0
(0 - 1)","141
(124 - 161)","29.7
(26.4 - 33.8)","167.3
(147.3 - 188.7)","55.8
(48.4 - 66.0)","1.8
(1.5 - 2.1)","63.6
(56.3 - 71.6)",,
         Grenada,Both Sex,"49
(45 - 55)","257
(236 - 282)","76
(67 - 85)","2
(2 - 2)","385
(352 - 425)","43.5
(39.9 - 48.6)","225.8
(207.5 - 247.6)","66.8
(59.6 - 74.9)","2.1
(1.8 - 2.4)","84.6
(77.7 - 92.4)",,
         Guyana,Male,"163
(150 - 178)","779
(731 - 834)","257
(234 - 282)","12
(10 - 13)","1,212
(1,126 - 1,309)","40.2
(36.9 - 43.9)","193.2
(181.1 - 206.7)","63.6
(57.9 - 69.6)","3.0
(2.6 - 3.4)","75.0
(70.9 - 80.0)",,
         Guyana,Female,"99
(91 - 107)","549
(510 - 584)","189
(168 - 210)","8
(7 - 9)","846
(777 - 911)","24.1
(22.2 - 26.0)","134.1
(124.6 - 142.8)","46.2
(41.0 - 51.2)","2.0
(1.8 - 2.3)","51.6
(48.0 - 54.8)",,
         Guyana,Both Sex,"262
(245 - 282)","1,329
(1,263 - 1,397)","447
(413 - 478)","20
(18 - 22)","2,059
(1,941 - 2,181)","32.1
(30.0 - 34.5)","163.5
(155.4 - 171.9)","54.8
(50.7 - 58.7)","2.5
(2.3 - 2.7)","63.2
(60.2 - 66.3)",,
         Haiti,Male,"832
(727 - 969)","1,655
(1,429 - 1,942)","299
(253 - 352)","24
(20 - 29)","2,811
(2,431 - 3,293)","13.4
(11.7 - 15.6)","26.0
(22.5 - 30.5)","4.6
(3.9 - 5.4)","0.4
(0.3 - 0.5)","11.1
(9.6 - 13.0)",,
         Haiti,Female,"505
(421 - 590)","1,200
(983 - 1,423)","225
(189 - 274)","17
(14 - 20)","1,949
(1,608 - 2,308)","7.8
(6.5 - 9.1)","18.1
(14.8 - 21.5)","3.3
(2.8 - 4.1)","0.3
(0.2 - 0.3)","7.4
(6.1 - 8.6)",,
         Haiti,Both Sex,"1,338
(1,196 - 1,500)","2,856
(2,515 - 3,258)","524
(456 - 595)","42
(35 - 48)","4,761
(4,203 - 5,404)","10.5
(9.4 - 11.8)","22.0
(19.4 - 25.1)","4.0
(3.4 - 4.5)","0.3
(0.3 - 0.4)","9.2
(8.2 - 10.4)",,
         Jamaica,Male,"509
(473 - 548)","1,772
(1,625 - 1,924)","623
(561 - 694)","12
(10 - 13)","2,918
(2,671 - 3,181)","36.4
(33.7 - 39.1)","126.3
(115.9 - 137.1)","44.4
(40.0 - 49.5)","0.9
(0.8 - 1.0)","52.0
(48.4 - 56.1)",,
         Jamaica,Female,"444
(403 - 480)","1,750
(1,595 - 1,923)","687
(599 - 781)","14
(11 - 15)","2,896
(2,610 - 3,201)","31.0
(28.2 - 33.5)","122.0
(111.2 - 134.1)","47.9
(41.7 - 54.4)","1.0
(0.8 - 1.1)","50.5
(46.0 - 54.7)",,
         Jamaica,Both Sex,"954
(889 - 1,010)","3,522
(3,269 - 3,751)","1,311
(1,186 - 1,425)","26
(23 - 29)","5,814
(5,369 - 6,216)","33.7
(31.4 - 35.6)","124.1
(115.2 - 132.2)","46.2
(41.8 - 50.2)","0.9
(0.8 - 1.0)","51.2
(47.7 - 54.0)",,
         Puerto Rico,Male,"945
(886 - 989)","1,267
(1,194 - 1,323)","1,664
(1,553 - 1,760)","76
(70 - 82)","3,953
(3,704 - 4,156)","59.0
(55.3 - 61.8)","79.7
(75.1 - 83.2)","104.7
(97.7 - 110.8)","4.9
(4.5 - 5.2)","62.1
(58.2 - 64.8)",,
         Puerto Rico,Female,"602
(546 - 642)","978
(885 - 1,041)","1,441
(1,263 - 1,562)","63
(55 - 69)","3,086
(2,751 - 3,316)","34.2
(31.1 - 36.5)","56.1
(50.7 - 59.7)","82.9
(72.7 - 89.9)","3.7
(3.2 - 4.0)","44.2
(39.5 - 47.1)",,
         Puerto Rico,Both Sex,"1,547
(1,435 - 1,634)","2,246
(2,088 - 2,355)","3,105
(2,833 - 3,303)","140
(124 - 151)","7,040
(6,481 - 7,445)","46.0
(42.7 - 48.6)","67.4
(62.6 - 70.6)","93.3
(85.1 - 99.3)","4.3
(3.8 - 4.6)","52.7
(48.6 - 55.6)",,
         Saint Kitts and Nevis,Male,"10
(9 - 12)","26
(23 - 30)","11
(9 - 13)","0
(0 - 0)","48
(42 - 55)","44.8
(39.3 - 51.8)","113.1
(99.8 - 128.9)","48.5
(41.2 - 56.6)","1.5
(1.3 - 1.8)","52.0
(45.5 - 59.4)",,
         Saint Kitts and Nevis,Female,"7
(6 - 8)","21
(18 - 24)","9
(8 - 11)","0
(0 - 0)","38
(33 - 45)","28.9
(24.7 - 34.3)","85.3
(74.1 - 98.4)","39.2
(33.4 - 46.2)","1.2
(1.0 - 1.4)","38.7
(33.5 - 44.7)",,
         Saint Kitts and Nevis,Both Sex,"17
(15 - 20)","47
(41 - 54)","21
(17 - 24)","0
(0 - 0)","87
(75 - 100)","36.6
(32.1 - 42.6)","98.7
(86.9 - 113.4)","43.7
(37.1 - 51.0)","1.4
(1.2 - 1.6)","45.1
(39.5 - 51.7)",,
         Saint Lucia,Male,"40
(36 - 44)","156
(141 - 173)","52
(46 - 59)","0
(0 - 0)","251
(225 - 279)","46.0
(41.2 - 50.8)","176.5
(159.5 - 195.7)","59.4
(52.8 - 67.0)","0.8
(0.7 - 1.0)","70.7
(64.5 - 77.5)",,
         Saint Lucia,Female,"35
(32 - 39)","158
(141 - 173)","61
(53 - 69)","0
(0 - 0)","256
(228 - 283)","40.2
(36.1 - 44.7)","177.4
(159.1 - 194.1)","68.8
(59.8 - 78.2)","0.9
(0.8 - 1.1)","71.8
(64.5 - 78.5)",,
         Saint Lucia,Both Sex,"76
(69 - 83)","315
(288 - 339)","114
(101 - 127)","1
(1 - 1)","507
(460 - 553)","43.1
(39.0 - 47.2)","176.9
(162.0 - 190.9)","64.1
(57.1 - 71.6)","0.9
(0.8 - 1.0)","71.2
(65.4 - 76.4)",,
         Saint Vincent and the Grenadines,Male,"11
(10 - 13)","30
(26 - 35)","11
(9 - 13)","0
(0 - 0)","54
(46 - 63)","20.1
(17.4 - 23.3)","52.1
(44.8 - 59.9)","19.2
(16.0 - 22.1)","0.9
(0.7 - 1.1)","23.1
(20.0 - 26.5)",,
         Saint Vincent and the Grenadines,Female,"9
(8 - 11)","32
(27 - 37)","12
(10 - 15)","0
(0 - 0)","55
(46 - 64)","17.4
(14.9 - 20.2)","56.9
(48.4 - 65.2)","22.2
(18.4 - 26.9)","1.0
(0.8 - 1.2)","24.4
(20.8 - 28.0)",,
         Saint Vincent and the Grenadines,Both Sex,"21
(18 - 24)","63
(54 - 71)","23
(20 - 28)","1
(0 - 1)","110
(93 - 125)","18.8
(16.1 - 21.2)","54.5
(46.6 - 61.9)","20.6
(17.5 - 24.3)","0.9
(0.8 - 1.1)","23.7
(20.5 - 26.8)",,
         Suriname,Male,"221
(205 - 235)","1,207
(1,151 - 1,262)","260
(242 - 278)","7
(7 - 8)","1,696
(1,607 - 1,784)","76.2
(70.9 - 81.0)","415.0
(396.0 - 433.9)","89.3
(83.1 - 95.4)","2.7
(2.5 - 3.0)","145.8
(138.9 - 152.5)",,
         Suriname,Female,"117
(103 - 126)","752
(682 - 798)","169
(148 - 185)","4
(4 - 5)","1,044
(939 - 1,116)","39.6
(35.0 - 42.7)","252.4
(229.0 - 267.8)","56.7
(49.7 - 62.0)","1.7
(1.4 - 1.9)","87.6
(78.8 - 93.6)",,
         Suriname,Both Sex,"338
(315 - 359)","1,959
(1,874 - 2,036)","430
(399 - 459)","12
(11 - 14)","2,741
(2,601 - 2,869)","57.7
(53.8 - 61.3)","332.7
(318.1 - 345.6)","72.8
(67.6 - 77.8)","2.2
(2.0 - 2.4)","116.3
(110.6 - 121.3)",,
         Bahamas,Male,"148
(138 - 159)","484
(452 - 515)","110
(101 - 119)","3
(3 - 4)","746
(695 - 798)","75.8
(70.6 - 81.5)","246.4
(230.0 - 262.3)","55.7
(51.3 - 60.3)","2.0
(1.8 - 2.2)","95.0
(88.6 - 101.1)",,
         Bahamas,Female,"100
(91 - 109)","377
(351 - 404)","97
(88 - 105)","3
(3 - 3)","578
(535 - 622)","48.0
(43.9 - 52.5)","179.5
(167.3 - 192.2)","46.0
(41.8 - 49.6)","1.6
(1.4 - 1.7)","68.8
(64.0 - 73.5)",,
         Bahamas,Both Sex,"248
(233 - 267)","862
(815 - 912)","207
(192 - 222)","7
(6 - 7)","1,325
(1,247 - 1,409)","61.4
(57.7 - 66.2)","211.8
(200.5 - 224.2)","50.7
(47.0 - 54.2)","1.8
(1.6 - 1.9)","81.4
(77.1 - 86.1)",,
         Trinidad and Tobago,Male,"434
(406 - 462)","2,342
(2,204 - 2,467)","1,175
(1,089 - 1,263)","21
(19 - 23)","3,973
(3,719 - 4,216)","62.0
(58.0 - 66.0)","335.4
(315.8 - 353.4)","169.1
(156.7 - 181.7)","3.1
(2.8 - 3.4)","142.4
(134.4 - 150.0)",,
         Trinidad and Tobago,Female,"293
(269 - 315)","1,761
(1,656 - 1,875)","952
(880 - 1,028)","18
(16 - 20)","3,026
(2,823 - 3,239)","42.1
(38.7 - 45.3)","252.9
(237.9 - 269.3)","137.1
(126.7 - 148.0)","2.6
(2.4 - 2.9)","108.7
(102.2 - 115.0)",,
         Trinidad and Tobago,Both Sex,"727
(683 - 765)","4,103
(3,911 - 4,275)","2,128
(2,000 - 2,247)","39
(36 - 42)","6,999
(6,631 - 7,330)","52.1
(48.9 - 54.7)","294.2
(280.5 - 306.6)","153.1
(143.9 - 161.6)","2.9
(2.6 - 3.1)","125.6
(119.8 - 130.4)",,
         United States Virgin Islands,Male,"23
(20 - 26)","68
(60 - 76)","35
(30 - 41)","0
(0 - 1)","128
(112 - 145)","53.4
(46.7 - 60.2)","160.6
(142.7 - 179.6)","85.4
(73.7 - 99.0)","2.4
(2.0 - 2.8)","75.5
(67.2 - 83.6)",,
         United States Virgin Islands,Female,"15
(13 - 17)","51
(45 - 59)","30
(25 - 36)","0
(0 - 1)","98
(85 - 114)","33.6
(28.8 - 38.0)","114.5
(101.2 - 132.5)","70.2
(58.3 - 82.5)","2.1
(1.7 - 2.6)","55.1
(48.3 - 62.9)",,
         United States Virgin Islands,Both Sex,"38
(33 - 43)","120
(107 - 133)","66
(59 - 75)","1
(1 - 2)","227
(201 - 255)","43.2
(37.7 - 48.7)","136.9
(122.5 - 152.1)","77.6
(68.9 - 88.5)","2.3
(1.9 - 2.6)","65.0
(57.6 - 72.0)",,
      Central Latin America,Male,"278,638
(273,656 - 282,521)","332,482
(326,341 - 336,789)","64,047
(61,487 - 65,506)","5,465
(5,236 - 5,663)","680,634
(666,721 - 690,480)","223.2
(219.2 - 226.3)","265.5
(260.6 - 269.0)","51.0
(48.9 - 52.1)","4.3
(4.1 - 4.5)","136.0
(133.4 - 137.9)",,
      Central Latin America,Female,"157,302
(151,510 - 160,847)","218,973
(210,991 - 223,536)","48,442
(45,202 - 50,320)","3,920
(3,676 - 4,109)","428,639
(411,381 - 438,814)","120.4
(115.9 - 123.1)","166.7
(160.6 - 170.1)","36.7
(34.2 - 38.1)","2.9
(2.8 - 3.1)","81.7
(78.4 - 83.5)",,
      Central Latin America,Both Sex,"435,941
(425,177 - 442,518)","551,455
(537,678 - 559,270)","112,490
(106,674 - 115,737)","9,386
(8,928 - 9,722)","1,109,274
(1,078,459 - 1,127,248)","170.6
(166.4 - 173.2)","214.9
(209.5 - 218.0)","43.6
(41.4 - 44.9)","3.6
(3.4 - 3.7)","108.2
(105.3 - 109.9)",,
         Colombia,Male,"38,806
(37,440 - 39,688)","66,279
(64,476 - 67,499)","14,877
(13,997 - 15,478)","685
(629 - 726)","120,648
(116,543 - 123,392)","156.2
(150.7 - 159.7)","264.0
(256.9 - 268.9)","58.9
(55.4 - 61.3)","2.7
(2.5 - 2.8)","120.4
(116.4 - 123.0)",,
         Colombia,Female,"23,177
(21,348 - 24,153)","46,258
(43,491 - 47,800)","12,564
(11,089 - 13,345)","570
(491 - 618)","82,570
(76,421 - 85,918)","90.0
(82.9 - 93.8)","177.8
(167.2 - 183.7)","47.9
(42.3 - 50.9)","2.2
(1.9 - 2.3)","79.5
(73.5 - 82.6)",,
         Colombia,Both Sex,"61,984
(58,762 - 63,687)","112,537
(107,733 - 115,092)","27,441
(25,225 - 28,741)","1,255
(1,123 - 1,338)","203,219
(192,844 - 208,860)","122.5
(116.1 - 125.9)","220.2
(210.8 - 225.2)","53.3
(49.0 - 55.8)","2.4
(2.2 - 2.6)","99.6
(94.5 - 102.3)",,
         Costa Rica,Male,"1,883
(1,807 - 1,951)","3,626
(3,507 - 3,724)","1,204
(1,136 - 1,264)","52
(48 - 56)","6,766
(6,500 - 6,997)","74.5
(71.5 - 77.1)","141.9
(137.3 - 145.8)","46.7
(44.1 - 49.1)","2.0
(1.9 - 2.2)","66.3
(63.8 - 68.3)",,
         Costa Rica,Female,"1,083
(996 - 1,143)","2,309
(2,163 - 2,416)","729
(645 - 782)","37
(33 - 41)","4,160
(3,839 - 4,383)","42.3
(38.9 - 44.6)","89.6
(83.9 - 93.7)","28.1
(24.9 - 30.2)","1.4
(1.3 - 1.6)","40.4
(37.3 - 42.4)",,
         Costa Rica,Both Sex,"2,967
(2,812 - 3,090)","5,935
(5,666 - 6,116)","1,933
(1,787 - 2,031)","90
(82 - 96)","10,927
(10,348 - 11,334)","58.3
(55.2 - 60.7)","115.6
(110.4 - 119.2)","37.4
(34.6 - 39.3)","1.7
(1.6 - 1.8)","53.3
(50.6 - 55.0)",,
         El Salvador,Male,"3,065
(2,810 - 3,324)","4,707
(4,300 - 5,217)","837
(755 - 941)","130
(116 - 148)","8,740
(7,982 - 9,632)","106.2
(97.3 - 115.1)","163.3
(149.2 - 181.0)","29.1
(26.2 - 32.7)","4.6
(4.1 - 5.2)","75.8
(69.6 - 83.0)",,
         El Salvador,Female,"2,216
(2,045 - 2,435)","3,838
(3,494 - 4,219)","696
(619 - 770)","114
(101 - 127)","6,866
(6,260 - 7,553)","67.1
(61.9 - 73.7)","116.1
(105.7 - 127.6)","21.1
(18.7 - 23.3)","3.4
(3.1 - 3.9)","51.9
(47.8 - 56.9)",,
         El Salvador,Both Sex,"5,282
(4,891 - 5,683)","8,546
(7,895 - 9,275)","1,533
(1,402 - 1,670)","245
(220 - 269)","15,607
(14,410 - 16,899)","85.3
(79.0 - 91.8)","138.1
(127.6 - 149.9)","24.8
(22.7 - 27.0)","4.0
(3.6 - 4.4)","63.1
(58.4 - 67.7)",,
         Guatemala,Male,"10,398
(10,104 - 10,637)","18,628
(18,179 - 19,057)","4,655
(4,418 - 4,893)","364
(334 - 398)","34,046
(33,036 - 34,987)","134.7
(130.9 - 137.8)","238.8
(233.0 - 244.3)","59.0
(56.0 - 62.1)","4.6
(4.2 - 5.0)","109.3
(106.4 - 111.6)",,
         Guatemala,Female,"4,413
(4,209 - 4,570)","11,727
(11,231 - 12,090)","3,384
(3,172 - 3,576)","209
(191 - 236)","19,735
(18,804 - 20,475)","53.8
(51.3 - 55.8)","141.3
(135.3 - 145.7)","40.3
(37.8 - 42.6)","2.5
(2.3 - 2.8)","59.5
(56.9 - 61.3)",,
         Guatemala,Both Sex,"14,812
(14,375 - 15,119)","30,356
(29,463 - 30,966)","8,039
(7,644 - 8,368)","574
(534 - 625)","53,781
(52,018 - 55,080)","93.0
(90.3 - 95.0)","188.5
(183.0 - 192.3)","49.4
(47.0 - 51.4)","3.5
(3.2 - 3.8)","83.6
(81.1 - 85.2)",,
         Honduras,Male,"8,580
(7,800 - 9,427)","13,464
(12,339 - 14,675)","1,552
(1,351 - 1,770)","613
(525 - 701)","24,210
(22,017 - 26,574)","174.6
(158.8 - 191.9)","268.8
(246.3 - 292.9)","30.4
(26.5 - 34.7)","11.8
(10.1 - 13.4)","121.4
(110.6 - 133.6)",,
         Honduras,Female,"5,607
(4,827 - 6,191)","9,714
(8,598 - 10,562)","1,036
(855 - 1,187)","382
(307 - 444)","16,741
(14,589 - 18,386)","108.3
(93.3 - 119.6)","183.9
(162.8 - 200.0)","19.2
(15.9 - 22.0)","7.0
(5.6 - 8.1)","79.6
(69.7 - 87.2)",,
         Honduras,Both Sex,"14,187
(13,012 - 15,156)","23,179
(21,479 - 24,520)","2,588
(2,266 - 2,857)","996
(864 - 1,103)","40,951
(37,623 - 43,637)","140.6
(129.0 - 150.2)","225.2
(208.7 - 238.2)","24.7
(21.6 - 27.2)","9.3
(8.1 - 10.3)","99.9
(91.9 - 106.3)",,
         Mexico,Male,"204,735
(201,360 - 207,894)","208,088
(204,128 - 211,089)","38,215
(36,719 - 39,274)","3,042
(2,914 - 3,156)","454,082
(445,122 - 461,414)","323.9
(318.6 - 328.9)","327.7
(321.4 - 332.4)","59.8
(57.5 - 61.5)","4.7
(4.5 - 4.9)","179.0
(175.7 - 181.7)",,
         Mexico,Female,"113,867
(110,449 - 116,198)","132,049
(127,787 - 134,914)","27,882
(26,267 - 28,834)","2,145
(2,010 - 2,239)","275,945
(266,514 - 282,187)","172.0
(166.9 - 175.5)","198.2
(191.8 - 202.5)","41.5
(39.1 - 43.0)","3.2
(3.0 - 3.3)","103.7
(100.3 - 105.9)",,
         Mexico,Both Sex,"318,603
(312,246 - 323,281)","340,138
(332,717 - 344,851)","66,098
(63,186 - 67,820)","5,188
(4,922 - 5,390)","730,028
(713,073 - 741,344)","246.2
(241.3 - 249.8)","261.4
(255.7 - 265.0)","50.5
(48.2 - 51.8)","3.9
(3.7 - 4.1)","140.5
(137.3 - 142.6)",,
