"Appendix Table S12. Global, top 100 causes by age-standardised death rate per 100,000 - 1990, 2019, 2021, 2023, and the percent change between years",,,,,,,,
Cause Name,1990,2019,1990-2019,2021,2019-2021,2023,2021-2023,1990-2023
Other transport injuries,1.49 (0.97-2.06),0.97 (0.7-1.33),-35.36%,1.0 (0.71-1.35),3.84%,0.97 (0.66-1.33),-2.81%,-34.76%
Nasopharynx cancer,1.46 (1.23-1.66),0.79 (0.69-0.9),-46.1%,0.83 (0.71-0.95),5.41%,0.83 (0.7-0.99),0.78%,-42.75%
Sexually transmitted infections excluding HIV,1.46 (0.68-2.69),1.09 (0.48-1.99),-25.03%,1.23 (0.53-2.26),12.74%,1.32 (0.54-2.47),7.29%,-9.31%
Total burden related to Non-alcoholic fatty liver disease (NAFLD),1.42 (1.12-1.79),1.44 (1.16-1.79),1.25%,1.44 (1.15-1.81),0.26%,1.45 (1.15-1.81),0.47%,1.99%
Other neoplasms,1.39 (1.21-1.57),1.42 (1.23-1.63),2.46%,1.4 (1.22-1.62),-1.16%,1.42 (1.21-1.65),0.89%,2.17%
Lower extremity peripheral arterial disease,1.35 (1.2-1.51),0.87 (0.77-0.96),-35.18%,0.86 (0.77-0.95),-1.85%,0.85 (0.75-0.94),-0.85%,-36.92%
Drug use disorders,1.31 (1.06-1.6),1.61 (1.41-1.84),22.92%,1.93 (1.68-2.22),20.03%,2.02 (1.75-2.32),4.22%,53.77%
Multiple myeloma,1.31 (1.21-1.42),1.36 (1.25-1.48),3.99%,1.36 (1.24-1.48),-0.49%,1.38 (1.24-1.51),1.69%,5.22%
Leishmaniasis,1.27 (0.56-2.45),0.07 (0.03-0.13),-94.51%,0.07 (0.03-0.12),-3.82%,0.06 (0.03-0.12),-6.79%,-95.08%
Interstitial lung disease and pulmonary sarcoidosis,1.27 (1.0-2.04),2.3 (1.93-2.8),81.56%,2.24 (1.87-2.79),-2.73%,2.4 (1.98-2.93),7.11%,89.16%
Other nutritional deficiencies,1.26 (0.9-1.8),0.55 (0.4-0.72),-56.72%,0.55 (0.4-0.73),0.51%,0.51 (0.35-0.69),-7.98%,-59.97%
Sudden infant death syndrome,1.26 (0.82-1.94),0.41 (0.26-0.64),-67.36%,0.43 (0.28-0.65),5.1%,0.42 (0.26-0.66),-3.32%,-66.84%
Other unspecified infectious diseases,1.26 (0.74-2.09),1.39 (0.76-2.39),10.44%,1.54 (0.84-2.56),10.58%,1.52 (0.83-2.52),-0.9%,21.03%
Invasive Non-typhoidal Salmonella (iNTS),1.15 (0.94-1.46),1.03 (0.83-1.33),-10.35%,1.07 (0.83-1.4),3.2%,1.1 (0.85-1.45),2.87%,-4.83%
Electrocution,1.11 (0.59-1.78),0.55 (0.28-0.77),-50.0%,0.53 (0.26-0.71),-3.53%,0.53 (0.27-0.73),-0.64%,-52.07%
Environmental heat and cold exposure,1.09 (0.75-1.47),0.46 (0.33-0.6),-57.54%,0.41 (0.28-0.55),-10.94%,0.94 (0.81-1.09),128.69%,-13.53%
Other pharynx cancer,1.07 (0.91-1.28),1.14 (0.93-1.39),6.97%,1.25 (1.01-1.52),9.91%,1.24 (1.01-1.53),-1.28%,16.07%
Endocarditis,1.05 (0.86-1.3),0.98 (0.83-1.13),-6.52%,0.98 (0.83-1.14),0.11%,1.0 (0.85-1.17),1.16%,-5.34%
"Inguinal, femoral, and abdominal hernia",1.01 (0.81-1.26),0.63 (0.49-0.84),-37.3%,0.59 (0.46-0.78),-6.91%,0.59 (0.45-0.78),-0.15%,-41.71%
Other chronic respiratory diseases,0.98 (0.71-1.33),0.74 (0.55-1.03),-24.18%,0.72 (0.52-1.04),-2.88%,0.79 (0.58-1.11),9.25%,-19.55%
