"Appendix Table S3. Top causes containing misclassified COVID-19 (reported) by location, 2020-2022",,,,
Location Name,Cause Name,Amount of miscoded Covid deaths,Percent of total miscoded Covid deaths,Percent of total Covid (miscoded and reported)
Ecuador,Diabetes mellitus,5416,20.4%,7.2%
Ecuador,Lower respiratory infections,3296,12.4%,4.4%
Ecuador,All Remaining Causes,1305,4.9%,1.7%
Ecuador,Stroke,1134,4.3%,1.5%
Ecuador,Chronic kidney disease,569,2.1%,0.8%
Ecuador,Parkinson's disease,470,1.8%,0.6%
Ecuador,Atrial fibrillation and flutter,456,1.7%,0.6%
Ecuador,Hypertensive heart disease,372,1.4%,0.5%
Ecuador,"Endocrine, metabolic, blood, and immune disorders",275,1.0%,0.4%
Ecuador,Prostate cancer,207,0.8%,0.3%
Estonia,Hypertensive heart disease,557,41.4%,13.1%
Estonia,Chronic kidney disease,164,12.2%,3.9%
Estonia,Cirrhosis and other chronic liver diseases,139,10.4%,3.3%
Estonia,All Remaining Causes,133,9.9%,3.1%
Estonia,Diabetes mellitus,110,8.2%,2.6%
Estonia,"Endocrine, metabolic, blood, and immune disorders",62,4.6%,1.5%
Estonia,Alzheimer's disease and other dementias,57,4.3%,1.4%
Estonia,Liver cancer,45,3.3%,1.1%
Estonia,Non-rheumatic valvular heart disease,30,2.2%,0.7%
Estonia,Other cardiovascular and circulatory diseases,28,2.1%,0.7%
Estonia,Atrial fibrillation and flutter,18,1.4%,0.4%
Finland,Urinary diseases and male infertility,75,17.1%,3.8%
Finland,All Remaining Causes,70,15.9%,3.6%
Finland,Chronic kidney disease,54,12.3%,2.8%
Finland,Multiple myeloma,44,10.1%,2.2%
Finland,Cirrhosis and other chronic liver diseases,41,9.4%,2.1%
Finland,Ischemic heart disease,39,8.8%,2.0%
Finland,Upper digestive system diseases,33,7.4%,1.7%
Finland,Motor neuron disease,25,5.7%,1.3%
Finland,Paralytic ileus and intestinal obstruction,25,5.6%,1.3%
Finland,Diabetes mellitus,19,4.3%,1.0%
Finland,Gallbladder and biliary diseases,15,3.3%,0.7%
France,Parkinson's disease,328,59.0%,0.4%
France,Atrial fibrillation and flutter,124,22.2%,0.2%
France,Malignant neoplasm of bone and articular cartilage,39,6.9%,0.1%
France,Gynecological diseases,23,4.1%,0.0%
France,Eye cancer,22,3.9%,0.0%
France,Hypertensive heart disease,10,1.9%,0.0%
France,Rheumatoid arthritis,9,1.7%,0.0%
France,Acute glomerulonephritis,2,0.3%,0.0%
Georgia,Lower respiratory infections,1729,59.5%,9.4%
Georgia,Hypertensive heart disease,675,23.2%,3.7%
Georgia,All Remaining Causes,128,4.4%,0.7%
Georgia,Rheumatic heart disease,113,3.9%,0.6%
Georgia,Upper digestive system diseases,56,1.9%,0.3%
Georgia,Parkinson's disease,46,1.6%,0.2%
Georgia,Non-rheumatic valvular heart disease,45,1.5%,0.2%
Georgia,Cardiomyopathy and myocarditis,36,1.2%,0.2%
Georgia,"Tracheal, bronchus, and lung cancer",33,1.1%,0.2%
Georgia,Stomach cancer,26,0.9%,0.1%
Georgia,Other cardiovascular and circulatory diseases,22,0.7%,0.1%
Germany,Hypertensive heart disease,11172,36.4%,5.6%
Germany,Chronic kidney disease,7767,25.3%,3.9%
Germany,Alzheimer's disease and other dementias,6461,21.0%,3.2%
Germany,"Endocrine, metabolic, blood, and immune disorders",1406,4.6%,0.7%
Germany,All Remaining Causes,1168,3.8%,0.6%
Germany,Rheumatic heart disease,706,2.3%,0.4%
Germany,Atrial fibrillation and flutter,488,1.6%,0.2%
Germany,Diarrheal diseases,469,1.5%,0.2%
Germany,Cirrhosis and other chronic liver diseases,433,1.4%,0.2%
Germany,Cardiomyopathy and myocarditis,362,1.2%,0.2%
Germany,Bladder cancer,286,0.9%,0.1%
Greece,Cardiomyopathy and myocarditis,154,29.8%,2.8%
Greece,Hypertensive heart disease,153,29.6%,2.7%
Greece,Urinary diseases and male infertility,134,25.8%,2.4%
Greece,Other neurological disorders,29,5.5%,0.5%
Greece,Pancreatic cancer,18,3.5%,0.3%
Greece,Malignant neoplasm of bone and articular cartilage,15,2.8%,0.3%
Greece,Other chronic respiratory diseases,4,0.8%,0.1%
Greece,Idiopathic epilepsy,4,0.8%,0.1%
Greece,Chronic obstructive pulmonary disease,4,0.7%,0.1%
Greece,Asthma,2,0.5%,0.0%
Greece,All Remaining Causes,1,0.2%,0.0%
Grenada,Ischemic heart disease,50,52.2%,16.1%
Grenada,Chronic kidney disease,13,13.8%,4.3%
Grenada,Stroke,7,7.6%,2.3%
Grenada,Hypertensive heart disease,6,6.4%,2.0%
Grenada,All Remaining Causes,6,6.0%,1.8%
Grenada,Other cardiovascular and circulatory diseases,3,3.6%,1.1%
Grenada,Esophageal cancer,3,3.2%,1.0%
Grenada,Aortic aneurysm,2,2.2%,0.7%
Grenada,Other digestive diseases (internal),2,2.0%,0.6%
Grenada,Hemoglobinopathies and hemolytic anemias,1,1.6%,0.5%
Grenada,Parkinson's disease,1,1.4%,0.4%
Guam,Prostate cancer,17,19.6%,4.1%
Guam,All Remaining Causes,10,11.7%,2.5%
Guam,Breast cancer,10,11.5%,2.4%
Guam,Colon and rectum cancer,9,11.2%,2.3%
Guam,Chronic obstructive pulmonary disease,8,9.7%,2.0%
Guam,Chronic kidney disease,8,9.4%,2.0%
Guam,Pancreatic cancer,7,8.6%,1.8%
Guam,Cervical cancer,5,5.5%,1.2%
Guam,Ischemic heart disease,4,5.2%,1.1%
Guam,Urinary diseases and male infertility,4,5.0%,1.1%
Guam,Hypertensive heart disease,2,2.7%,0.6%
Guatemala,Ischemic heart disease,11032,43.6%,21.1%
Guatemala,Diabetes mellitus,7163,28.3%,13.7%
Guatemala,Stroke,1742,6.9%,3.3%
Guatemala,All Remaining Causes,1315,5.2%,2.5%
Guatemala,Cirrhosis and other chronic liver diseases,1056,4.2%,2.0%
Guatemala,Chronic kidney disease,889,3.5%,1.7%
Guatemala,Upper digestive system diseases,794,3.1%,1.5%
Guatemala,Prostate cancer,718,2.8%,1.4%
Guatemala,Stomach cancer,242,1.0%,0.5%
Guatemala,Parkinson's disease,191,0.8%,0.4%
Guatemala,"Endocrine, metabolic, blood, and immune disorders",148,0.6%,0.3%
Hungary,Hypertensive heart disease,1114,26.0%,2.4%
Hungary,Chronic kidney disease,855,20.0%,1.9%
Hungary,Diabetes mellitus,672,15.7%,1.5%
Hungary,All Remaining Causes,370,8.6%,0.8%
Hungary,Diarrheal diseases,286,6.7%,0.6%
Hungary,Cirrhosis and other chronic liver diseases,285,6.6%,0.6%
Hungary,Atrial fibrillation and flutter,230,5.4%,0.5%
Hungary,Urinary diseases and male infertility,218,5.1%,0.5%
Hungary,"Endocrine, metabolic, blood, and immune disorders",124,2.9%,0.3%
Hungary,Parkinson's disease,85,2.0%,0.2%
Hungary,Asthma,46,1.1%,0.1%
Iceland,Non-rheumatic valvular heart disease,23,33.1%,7.1%
Iceland,All Remaining Causes,9,13.2%,2.8%
Iceland,Urinary diseases and male infertility,9,13.1%,2.8%
Iceland,Gallbladder and biliary tract cancer,6,8.1%,1.7%
Iceland,Non-Hodgkin lymphoma,5,6.6%,1.4%
Iceland,Asthma,4,6.1%,1.3%
Iceland,Cirrhosis and other chronic liver diseases,3,4.8%,1.0%
Iceland,Other cardiovascular and circulatory diseases,3,4.1%,0.9%
Iceland,Interstitial lung disease and pulmonary sarcoidosis,3,3.8%,0.8%
Iceland,Other digestive diseases (internal),2,3.6%,0.8%
Iceland,Diarrheal diseases,2,3.4%,0.7%
Ireland,Alzheimer's disease and other dementias,195,49.1%,8.3%
Ireland,"Endocrine, metabolic, blood, and immune disorders",56,14.1%,2.4%
Ireland,Ischemic heart disease,53,13.3%,2.2%
Ireland,Urinary diseases and male infertility,21,5.4%,0.9%
Ireland,Pancreatic cancer,15,3.7%,0.6%
Ireland,Non-melanoma skin cancer,14,3.5%,0.6%
Ireland,All Remaining Causes,12,3.0%,0.5%
Ireland,Endocarditis,9,2.2%,0.4%
Ireland,Hypertensive heart disease,8,2.1%,0.3%
Ireland,Diabetes mellitus,8,2.0%,0.3%
Ireland,Bacterial skin diseases,7,1.7%,0.3%
Israel,Diabetes mellitus,113,51.1%,3.2%
Israel,Bladder cancer,68,30.5%,1.9%
Israel,Lower respiratory infections,14,6.3%,0.4%
Israel,Endocarditis,8,3.7%,0.2%
Israel,Upper digestive system diseases,8,3.5%,0.2%
Israel,Lip and oral cavity cancer,4,1.9%,0.1%
Israel,Urinary diseases and male infertility,3,1.2%,0.1%
Israel,Paralytic ileus and intestinal obstruction,2,0.9%,0.1%
Israel,Appendicitis,2,0.8%,0.1%
Italy,Diabetes mellitus,9656,34.6%,5.6%
Italy,Chronic kidney disease,5424,19.4%,3.1%
Italy,Hypertensive heart disease,3517,12.6%,2.0%
