Appendix Table S11. All cause probability of death before age 70 by location and sex,,,,,,,,
Location Name,Sex,1990,2000,2010,2019,2023,"Percent Change from 2000 to 2023, 0 to 70",
         Lao People's Democratic Republic,Male,69.5%,62.3%,53.6%,49.5%,48.8%,-21.7%,
         Malaysia,Male,42.3%,40.0%,35.6%,34.0%,32.2%,-19.5%,
         Maldives,Male,46.1%,34.8%,26.7%,21.8%,19.8%,-43.1%,
         Mauritius,Male,51.4%,45.6%,39.9%,37.7%,40.3%,-11.6%,
         Myanmar,Male,72.8%,68.0%,61.1%,56.2%,56.9%,-16.3%,
         Philippines,Male,45.0%,45.2%,46.0%,43.7%,41.6%,-8.1%,
         Seychelles,Male,50.2%,48.2%,42.5%,34.2%,35.4%,-26.5%,
         Sri Lanka,Male,47.6%,44.9%,37.7%,30.1%,33.3%,-25.7%,
         Thailand,Male,41.5%,43.8%,35.5%,33.7%,34.3%,-21.6%,
         Timor-Leste,Male,56.1%,47.7%,41.4%,39.8%,38.4%,-19.6%,
         Viet Nam,Male,48.0%,42.4%,40.3%,37.4%,36.4%,-14.2%,
   Sub-Saharan Africa,Male,66.5%,68.3%,59.9%,53.7%,52.2%,-23.6%,
      Central Sub-Saharan Africa,Male,69.5%,69.0%,63.0%,58.0%,57.0%,-17.4%,
         Angola,Male,73.7%,69.1%,62.7%,57.2%,56.5%,-18.2%,
         Central African Republic,Male,74.7%,79.8%,71.4%,68.2%,66.0%,-17.3%,
         Congo,Male,66.0%,65.7%,56.2%,54.6%,53.9%,-18.0%,
         Democratic Republic of the Congo,Male,68.1%,68.4%,63.0%,57.8%,56.7%,-17.1%,
         Equatorial Guinea,Male,77.6%,71.6%,64.0%,62.0%,63.5%,-11.4%,
         Gabon,Male,56.3%,56.2%,50.7%,49.2%,47.5%,-15.5%,
      Eastern Sub-Saharan Africa,Male,70.0%,70.3%,58.5%,51.9%,50.4%,-28.3%,
         Burundi,Male,71.2%,77.1%,59.3%,54.7%,54.3%,-29.5%,
         Comoros,Male,43.6%,38.0%,31.4%,30.5%,29.5%,-22.6%,
         Djibouti,Male,54.3%,52.3%,49.3%,45.0%,43.6%,-16.8%,
         Eritrea,Male,77.6%,62.6%,55.7%,52.1%,51.6%,-17.6%,
         Ethiopia,Male,76.0%,70.9%,55.9%,50.5%,50.2%,-29.2%,
         Kenya,Male,53.9%,64.6%,53.0%,45.9%,43.2%,-33.1%,
         Madagascar,Male,66.4%,60.2%,55.5%,52.9%,52.3%,-13.1%,
         Malawi,Male,76.7%,82.9%,68.2%,61.6%,61.7%,-25.6%,
         Mozambique,Male,62.9%,65.4%,61.6%,58.5%,53.9%,-17.6%,
         Rwanda,Male,78.0%,78.4%,58.9%,55.1%,55.5%,-29.3%,
         Somalia,Male,62.9%,60.1%,66.5%,48.2%,47.3%,-21.3%,
         South Sudan,Male,70.2%,68.6%,65.0%,64.5%,64.4%,-6.1%,
