IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
LIFE_0000000032,ndx - number of people dying between ages x and x+n,numeric,EUR,Europe,Country,DEU,Germany,Year,2015,FALSE,Sex,Male,SEX_MLE,Age Group,50-54 years,AGEGROUP_AGE50-54,,,,,,,2139,,,,,,2138.773316,,,EN,2020-12-05T18:30:00.000Z
LIFE_0000000032,ndx - number of people dying between ages x and x+n,numeric,WPR,Western Pacific,Country,VNM,Viet Nam,Year,2015,FALSE,Sex,Female,SEX_FMLE,Age Group,20-24 years,AGEGROUP_AGE20-24,,,,,,,215.7,,,,,,215.7000483,,,EN,2020-12-05T18:30:00.000Z
LIFE_0000000032,ndx - number of people dying between ages x and x+n,numeric,WPR,Western Pacific,Country,AUS,Australia,Year,2015,FALSE,Sex,Female,SEX_FMLE,Age Group,60-64 years,AGEGROUP_AGE60-64,,,,,,,2155,,,,,,2154.705181,,,EN,2020-12-05T18:30:00.000Z
LIFE_0000000032,ndx - number of people dying between ages x and x+n,numeric,EMR,Eastern Mediterranean,Country,AFG,Afghanistan,Year,2015,FALSE,Sex,Female,SEX_FMLE,Age Group,35-39 years,AGEGROUP_AGE35-39,,,,,,,2157,,,,,,2156.959361,,,EN,2020-12-05T18:30:00.000Z
LIFE_0000000032,ndx - number of people dying between ages x and x+n,numeric,EUR,Europe,Country,RUS,Russian Federation,Year,2015,FALSE,Sex,Female,SEX_FMLE,Age Group,15-19  years,AGEGROUP_AGE15-19,,,,,,,216.3,,,,,,216.2889861,,,EN,2020-12-05T18:30:00.000Z
LIFE_0000000032,ndx - number of people dying between ages x and x+n,numeric,AFR,Africa,Country,COG,Congo,Year,2015,FALSE,Sex,Male,SEX_MLE,Age Group,35-39 years,AGEGROUP_AGE35-39,,,,,,,2173,,,,,,2172.817102,,,EN,2020-12-05T18:30:00.000Z
LIFE_0000000032,ndx - number of people dying between ages x and x+n,numeric,AMR,Americas,Country,CUB,Cuba,Year,2015,FALSE,Sex,Female,SEX_FMLE,Age Group,25-29 years,AGEGROUP_AGE25-29,,,,,,,219,,,,,,218.9918578,,,EN,2020-12-05T18:30:00.000Z
LIFE_0000000032,ndx - number of people dying between ages x and x+n,numeric,EMR,Eastern Mediterranean,Country,SOM,Somalia,Year,2015,FALSE,Sex,Female,SEX_FMLE,Age Group,35-39 years,AGEGROUP_AGE35-39,,,,,,,2197,,,,,,2196.864797,,,EN,2020-12-05T18:30:00.000Z
LIFE_0000000032,ndx - number of people dying between ages x and x+n,numeric,EUR,Europe,Country,ITA,Italy,Year,2015,FALSE,Sex,Female,SEX_FMLE,Age Group,60-64 years,AGEGROUP_AGE60-64,,,,,,,2201,,,,,,2201.080576,,,EN,2020-12-05T18:30:00.000Z
LIFE_0000000032,ndx - number of people dying between ages x and x+n,numeric,AMR,Americas,Country,VEN,Venezuela (Bolivarian Republic of),Year,2015,FALSE,Sex,Male,SEX_MLE,Age Group,20-24 years,AGEGROUP_AGE20-24,,,,,,,2208,,,,,,2208.190332,,,EN,2020-12-05T18:30:00.000Z
LIFE_0000000032,ndx - number of people dying between ages x and x+n,numeric,EUR,Europe,Country,ITA,Italy,Year,2015,FALSE,Sex,Male,SEX_MLE,Age Group,20-24 years,AGEGROUP_AGE20-24,,,,,,,221.7,,,,,,221.710408,,,EN,2020-12-05T18:30:00.000Z
LIFE_0000000032,ndx - number of people dying between ages x and x+n,numeric,EUR,Europe,Country,FRA,France,Year,2015,FALSE,Sex,Male,SEX_MLE,Age Group,50-54 years,AGEGROUP_AGE50-54,,,,,,,2217,,,,,,2216.765196,,,EN,2020-12-05T18:30:00.000Z
LIFE_0000000032,ndx - number of people dying between ages x and x+n,numeric,EMR,Eastern Mediterranean,Country,AFG,Afghanistan,Year,2015,FALSE,Sex,Female,SEX_FMLE,Age Group,10-14 years,AGEGROUP_AGE10-14,,,,,,,222.1,,,,,,222.0790867,,,EN,2020-12-05T18:30:00.000Z
LIFE_0000000032,ndx - number of people dying between ages x and x+n,numeric,EMR,Eastern Mediterranean,Country,IRN,Iran (Islamic Republic of),Year,2015,FALSE,Sex,Male,SEX_MLE,Age Group,1-4 years,AGEGROUP_AGE1-4,,,,,,,222.5,,,,,,222.5229729,,,EN,2020-12-05T18:30:00.000Z
